"Country","League","Season","Date","Time","","Home","Away","HG","AG","Res","PH","PD","PA"
"Argentina","Liga Profesional","2023","5/20/2023","1:30","","Argentinos Jrs","Boca Juniors","0","1","-1","2.37","3.1","3.46"
"Argentina","Liga Profesional","2023","5/20/2023","18:00","","San Lorenzo","Instituto","2","0","1","2.03","2.98","4.82"
"Argentina","Liga Profesional","2023","5/21/2023","1:30","","Lanus","Newells Old Boys","1","0","1","2.15","2.93","4.4"
"Argentina","Liga Profesional","2023","5/21/2023","1:30","","Tigre","Atl. Tucuman","0","0","0","1.88","3.56","4.49"
"Argentina","Liga Profesional","2023","5/21/2023","19:30","","Belgrano","Talleres Cordoba","1","1","0","3.85","3.08","2.22"
"Argentina","Liga Profesional","2023","5/21/2023","22:00","","Colon Santa Fe","Barracas Central","1","1","0","1.96","3.28","4.53"
"Argentina","Liga Profesional","2023","5/21/2023","22:00","","Sarmiento Junin","Huracan","0","0","0","2.9","2.95","2.87"
"Argentina","Liga Profesional","2023","5/22/2023","0:30","","River Plate","Platense","2","1","1","1.29","5.65","11.99"
"Argentina","Liga Profesional","2023","5/27/2023","1:30","","Atl. Tucuman","Arsenal Sarandi","1","0","1","1.83","3.54","4.79"
"Argentina","Liga Profesional","2023","5/27/2023","15:00","","Gimnasia L.P.","Sarmiento Junin","0","0","0","2.47","3.19","3.17"
"Argentina","Liga Profesional","2023","5/27/2023","22:00","","Platense","Belgrano","1","0","1","2.36","2.88","3.82"
"Argentina","Liga Profesional","2023","5/28/2023","0:30","","Independiente","Lanus","1","1","0","2.91","2.85","2.95"
"Argentina","Liga Profesional","2023","5/28/2023","18:00","","Barracas Central","San Lorenzo","1","0","1","3.74","2.98","2.33"
